Loading FW Lite setup.
Using TENStyle
Type                                  Module                      Label             Process   
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByIsolation"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByLeadingTrackFinding"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByLeadingTrackPtCut"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByTrackIsolation"   ""                "HLT"     
reco::EcalHaloData                    "EcalHaloData"              ""                "HLT"     
reco::GlobalHaloData                  "GlobalHaloData"            ""                "HLT"     
reco::HcalHaloData                    "HcalHaloData"              ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDeadECALElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFinding"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVAraw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr3Hits"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationMVA"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA2LooseElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA2MediumElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA2TightElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA2VLooseElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA2rawElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA3LooseElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA3MediumElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA3TightElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA3VTightElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA3rawElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVAElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr3Hits"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationMVA"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawChargedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawGammaIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr3Hits"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationMVA"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "pfTausDiscriminationByIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "pfTausDiscriminationByLeadingPionPtCut"   ""                "HLT"     
reco::PFTauDiscriminator              "pfTausDiscriminationByLeadingTrackFinding"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA2rawElectronRejection"   "category"        "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA3rawElectronRejection"   "category"        "HLT"     
vector<BeamSpotOnline>                "hltScalersRawToDigi"       ""                "HLT"     
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "HLT"     
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "HLT"     
vector<DcsStatus>                     "scalersRawToDigi"          ""                "HLT"     
vector<L1AcceptBunchCrossing>         "hltScalersRawToDigi"       ""                "HLT"     
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "HLT"     
vector<L1GctEmCand>                   "gctDigis"                  "isoEm"           "HLT"     
vector<L1GctEmCand>                   "gctDigis"                  "nonIsoEm"        "HLT"     
vector<L1GctEtHad>                    "gctDigis"                  ""                "HLT"     
vector<L1GctEtMiss>                   "gctDigis"                  ""                "HLT"     
vector<L1GctEtTotal>                  "gctDigis"                  ""                "HLT"     
vector<L1GctHFBitCounts>              "gctDigis"                  ""                "HLT"     
vector<L1GctHFRingEtSums>             "gctDigis"                  ""                "HLT"     
vector<L1GctHtMiss>                   "gctDigis"                  ""                "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "cenJets"         "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "forJets"         "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "tauJets"         "HLT"     
vector<L1GctJetCounts>                "gctDigis"                  ""                "HLT"     
vector<L1TriggerScalers>              "hltScalersRawToDigi"       ""                "HLT"     
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "HLT"     
vector<Level1TriggerScalers>          "hltScalersRawToDigi"       ""                "HLT"     
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "HLT"     
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "HLT"     
vector<LumiScalers>                   "scalersRawToDigi"          ""                "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<SimTrack>                      "g4SimHits"                 ""                "HLT"     
vector<SimVertex>                     "g4SimHits"                 ""                "HLT"     
vector<TrajectorySeed>                "CosmicMuonSeed"            ""                "HLT"     
vector<TrajectorySeed>                "SETMuonSeed"               ""                "HLT"     
vector<TrajectorySeed>                "ancientMuonSeed"           ""                "HLT"     
vector<double>                        "ak5CaloJets"               "rhos"            "HLT"     
vector<double>                        "ak5GenJets"                "rhos"            "HLT"     
vector<double>                        "ak5PFJets"                 "rhos"            "HLT"     
vector<double>                        "ak5PFJetsCHS"              "rhos"            "HLT"     
vector<double>                        "ak5TrackJets"              "rhos"            "HLT"     
vector<double>                        "ak7BasicJets"              "rhos"            "HLT"     
vector<double>                        "ak7CaloJets"               "rhos"            "HLT"     
vector<double>                        "ak7GenJets"                "rhos"            "HLT"     
vector<double>                        "ak7PFJets"                 "rhos"            "HLT"     
vector<double>                        "iterativeCone5CaloJets"    "rhos"            "HLT"     
vector<double>                        "iterativeCone5GenJets"     "rhos"            "HLT"     
vector<double>                        "iterativeCone5PFJets"      "rhos"            "HLT"     
vector<double>                        "kt4CaloJets"               "rhos"            "HLT"     
vector<double>                        "kt4GenJets"                "rhos"            "HLT"     
vector<double>                        "kt4PFJets"                 "rhos"            "HLT"     
vector<double>                        "kt4TrackJets"              "rhos"            "HLT"     
vector<double>                        "kt6CaloJets"               "rhos"            "HLT"     
vector<double>                        "kt6GenJets"                "rhos"            "HLT"     
vector<double>                        "kt6PFJets"                 "rhos"            "HLT"     
vector<double>                        "ak5CaloJets"               "sigmas"          "HLT"     
vector<double>                        "ak5GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak5PFJets"                 "sigmas"          "HLT"     
vector<double>                        "ak5PFJetsCHS"              "sigmas"          "HLT"     
vector<double>                        "ak5TrackJets"              "sigmas"          "HLT"     
vector<double>                        "ak7BasicJets"              "sigmas"          "HLT"     
vector<double>                        "ak7CaloJets"               "sigmas"          "HLT"     
vector<double>                        "ak7GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak7PFJets"                 "sigmas"          "HLT"     
vector<double>                        "iterativeCone5CaloJets"    "sigmas"          "HLT"     
vector<double>                        "iterativeCone5GenJets"     "sigmas"          "HLT"     
vector<double>                        "iterativeCone5PFJets"      "sigmas"          "HLT"     
vector<double>                        "kt4CaloJets"               "sigmas"          "HLT"     
vector<double>                        "kt4GenJets"                "sigmas"          "HLT"     
vector<double>                        "kt4PFJets"                 "sigmas"          "HLT"     
vector<double>                        "kt4TrackJets"              "sigmas"          "HLT"     
vector<double>                        "kt6CaloJets"               "sigmas"          "HLT"     
vector<double>                        "kt6GenJets"                "sigmas"          "HLT"     
vector<double>                        "kt6PFJets"                 "sigmas"          "HLT"     
vector<edm::ErrorSummaryEntry>        "logErrorHarvester"         ""                "HLT"     
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowPtrs"          ""                "HLT"     
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowTmpPtrs"       ""                "HLT"     
vector<edm::FwdPtr<reco::PFCandidate> >    "pfIsolatedElectronsEI"     ""                "HLT"     
vector<edm::FwdPtr<reco::PFCandidate> >    "pfIsolatedMuonsEI"         ""                "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "HLT"     
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "HLT"     
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "HLT"     
vector<reco::BasicJet>                "ak7BasicJets"              ""                "HLT"     
vector<reco::CaloCluster>             "hfEMClusters"              ""                "HLT"     
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "HLT"     
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "HLT"     
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "HLT"     
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "HLT"     
vector<reco::CaloCluster>             "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::CaloCluster>             "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "HLT"     
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapBasicClusters"   "HLT"     
vector<reco::CaloJet>                 "ak5CaloJets"               ""                "HLT"     
vector<reco::CaloJet>                 "ak7CaloJets"               ""                "HLT"     
vector<reco::CaloJet>                 "iterativeCone5CaloJets"    ""                "HLT"     
vector<reco::CaloJet>                 "kt4CaloJets"               ""                "HLT"     
vector<reco::CaloJet>                 "kt6CaloJets"               ""                "HLT"     
vector<reco::CaloMET>                 "corMetGlobalMuons"         ""                "HLT"     
vector<reco::CaloMET>                 "met"                       ""                "HLT"     
vector<reco::CaloMET>                 "metHO"                     ""                "HLT"     
vector<reco::CaloMET>                 "metNoHF"                   ""                "HLT"     
vector<reco::CaloMuon>                "calomuons"                 ""                "HLT"     
vector<reco::CaloTau>                 "caloRecoTauProducer"       ""                "HLT"     
vector<reco::CaloTauTagInfo>          "caloRecoTauTagInfoProducer"   ""                "HLT"     
vector<reco::CastorTower>             "CastorTowerReco"           ""                "HLT"     
vector<reco::Conversion>              "allConversions"            ""                "HLT"     
vector<reco::Conversion>              "conversions"               ""                "HLT"     
vector<reco::Conversion>              "uncleanedOnlyAllConversions"   ""                "HLT"     
vector<reco::Conversion>              "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::ElectronSeed>            "electronMergedSeeds"       ""                "HLT"     
vector<reco::GenJet>                  "ak5GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak7GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "iterativeCone5GenJets"     ""                "HLT"     
vector<reco::GenJet>                  "kt4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "kt6GenJets"                ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetCaloAndNonPrompt"    ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<reco::GsfElectron>             "gsfElectrons"              ""                "HLT"     
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "HLT"     
vector<reco::GsfElectron>             "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::GsfElectronCore>         "gsfElectronCores"          ""                "HLT"     
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "HLT"     
vector<reco::GsfElectronCore>         "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "HLT"     
vector<reco::GsfTrackExtra>           "electronGsfTracks"         ""                "HLT"     
vector<reco::HFEMClusterShape>        "hfEMClusters"              ""                "HLT"     
vector<reco::HcalNoiseRBX>            "hcalnoise"                 ""                "HLT"     
vector<reco::JPTJet>                  "JetPlusTrackZSPCorJetAntiKt5"   ""                "HLT"     
vector<reco::JPTJet>                  "TCTauJetPlusTrackZSPCorJetAntiKt5"   ""                "HLT"     
vector<reco::MET>                     "tcMet"                     ""                "HLT"     
vector<reco::MET>                     "tcMetWithPFclusters"       ""                "HLT"     
vector<reco::Muon>                    "muons"                     ""                "HLT"     
vector<reco::Muon>                    "muonsFromCosmics"          ""                "HLT"     
vector<reco::Muon>                    "muonsFromCosmics1Leg"      ""                "HLT"     
vector<reco::PFBlock>                 "particleFlowBlock"         ""                "HLT"     
vector<reco::PFCandidate>             "particleFlow"              ""                "HLT"     
vector<reco::PFCandidate>             "pfIsolatedElectronsEI"     ""                "HLT"     
vector<reco::PFCandidate>             "pfIsolatedMuonsEI"         ""                "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughNeutralHadrons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedTrackerAndGlobalMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "electrons"       "HLT"     
vector<reco::PFCluster>               "particleFlowClusterECAL"   ""                "HLT"     
vector<reco::PFCluster>               "particleFlowClusterHCAL"   ""                "HLT"     
vector<reco::PFCluster>               "particleFlowClusterHO"     ""                "HLT"     
vector<reco::PFCluster>               "particleFlowClusterPS"     ""                "HLT"     
vector<reco::PFDisplacedVertex>       "particleFlowDisplacedVertex"   ""                "HLT"     
vector<reco::PFJet>                   "ak5PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "ak5PFJetsCHS"              ""                "HLT"     
vector<reco::PFJet>                   "ak7PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "iterativeCone5PFJets"      ""                "HLT"     
vector<reco::PFJet>                   "kt4PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "kt6PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "pfJetsEI"                  ""                "HLT"     
vector<reco::PFMET>                   "pfMet"                     ""                "HLT"     
vector<reco::PFMET>                   "pfMetEI"                   ""                "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterECAL"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHCAL"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHFEM"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHFHAD"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHO"     "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterPS"     "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitECAL"    "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitHCAL"    "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitHO"      "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitPS"      "Cleaned"         "HLT"     
vector<reco::PFTau>                   "hpsPFTauProducer"          ""                "HLT"     
vector<reco::PFTau>                   "pfTausEI"                  ""                "HLT"     
vector<reco::Photon>                  "photons"                   ""                "HLT"     
vector<reco::Photon>                  "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::PhotonCore>              "photonCore"                ""                "HLT"     
vector<reco::PhotonCore>              "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::PreId>                   "trackerDrivenElectronSeeds"   "preid"           "HLT"     
vector<reco::PreshowerCluster>        "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::PreshowerCluster>        "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "HLT"     
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "HLT"     
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "HLT"     
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "HLT"     
vector<reco::RecoChargedRefCandidate>    "trackRefsForJets"          ""                "HLT"     
vector<reco::RecoEcalCandidate>       "hfRecoEcalCandidate"       ""                "HLT"     
vector<reco::RecoTauPiZero>           "hpsPFTauProducer"          "pizeros"         "HLT"     
vector<reco::SecondaryVertexTagInfo>    "ghostTrackVertexTagInfos"   ""                "HLT"     
vector<reco::SecondaryVertexTagInfo>    "secondaryVertexTagInfos"   ""                "HLT"     
vector<reco::SoftLeptonTagInfo>       "softElectronTagInfos"      ""                "HLT"     
vector<reco::SoftLeptonTagInfo>       "softMuonTagInfos"          ""                "HLT"     
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "HLT"     
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "HLT"     
vector<reco::SuperCluster>            "hfEMClusters"              ""                "HLT"     
vector<reco::SuperCluster>            "hybridSuperClusters"       ""                "HLT"     
vector<reco::SuperCluster>            "multi5x5SuperClustersWithPreshower"   ""                "HLT"     
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "multi5x5EndcapSuperClusters"   "HLT"     
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "HLT"     
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcap"   "HLT"     
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "HLT"     
vector<reco::SuperCluster>            "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::SuperCluster>            "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "HLT"     
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapSuperClusters"   "HLT"     
vector<reco::Track>                   "ckfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "ckfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "conversionStepTracks"      ""                "HLT"     
vector<reco::Track>                   "cosmicMuons"               ""                "HLT"     
vector<reco::Track>                   "cosmicMuons1Leg"           ""                "HLT"     
vector<reco::Track>                   "cosmicsVetoTracks"         ""                "HLT"     
vector<reco::Track>                   "generalTracks"             ""                "HLT"     
vector<reco::Track>                   "globalCosmicMuons"         ""                "HLT"     
vector<reco::Track>                   "globalCosmicMuons1Leg"     ""                "HLT"     
vector<reco::Track>                   "globalMuons"               ""                "HLT"     
vector<reco::Track>                   "globalSETMuons"            ""                "HLT"     
vector<reco::Track>                   "pixelTracks"               ""                "HLT"     
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "HLT"     
vector<reco::Track>                   "regionalCosmicTracks"      ""                "HLT"     
vector<reco::Track>                   "standAloneMuons"           ""                "HLT"     
vector<reco::Track>                   "standAloneSETMuons"        ""                "HLT"     
vector<reco::Track>                   "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "HLT"     
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "HLT"     
vector<reco::Track>                   "standAloneSETMuons"        "UpdatedAtVtx"    "HLT"     
vector<reco::Track>                   "tevMuons"                  "default"         "HLT"     
vector<reco::Track>                   "tevMuons"                  "dyt"             "HLT"     
vector<reco::Track>                   "tevMuons"                  "firstHit"        "HLT"     
vector<reco::Track>                   "impactParameterTagInfos"   "ghostTracks"     "HLT"     
vector<reco::Track>                   "tevMuons"                  "picky"           "HLT"     
vector<reco::TrackExtra>              "ckfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::TrackExtra>              "ckfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::TrackExtra>              "conversionStepTracks"      ""                "HLT"     
vector<reco::TrackExtra>              "cosmicMuons"               ""                "HLT"     
vector<reco::TrackExtra>              "cosmicMuons1Leg"           ""                "HLT"     
vector<reco::TrackExtra>              "electronGsfTracks"         ""                "HLT"     
vector<reco::TrackExtra>              "generalTracks"             ""                "HLT"     
vector<reco::TrackExtra>              "globalCosmicMuons"         ""                "HLT"     
vector<reco::TrackExtra>              "globalCosmicMuons1Leg"     ""                "HLT"     
vector<reco::TrackExtra>              "globalMuons"               ""                "HLT"     
vector<reco::TrackExtra>              "globalSETMuons"            ""                "HLT"     
vector<reco::TrackExtra>              "pixelTracks"               ""                "HLT"     
vector<reco::TrackExtra>              "refittedStandAloneMuons"   ""                "HLT"     
vector<reco::TrackExtra>              "regionalCosmicTracks"      ""                "HLT"     
vector<reco::TrackExtra>              "standAloneMuons"           ""                "HLT"     
vector<reco::TrackExtra>              "standAloneSETMuons"        ""                "HLT"     
vector<reco::TrackExtra>              "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::TrackExtra>              "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "default"         "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "dyt"             "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "firstHit"        "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "picky"           "HLT"     
vector<reco::TrackExtrapolation>      "trackExtrapolator"         ""                "HLT"     
vector<reco::TrackIPTagInfo>          "impactParameterTagInfos"   ""                "HLT"     
vector<reco::TrackJet>                "ak5TrackJets"              ""                "HLT"     
vector<reco::TrackJet>                "kt4TrackJets"              ""                "HLT"     
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "HLT"     
vector<reco::Vertex>                  "offlinePrimaryVerticesWithBS"   ""                "HLT"     
vector<reco::Vertex>                  "pixelVertices"             ""                "HLT"     
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Kshort"          "HLT"     
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Lambda"          "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
